Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SecondTestSuite,Chrome 58.0.3029.110,,2017-06-22 21:04:09,2017-06-22 21:05:59,1m - 50.025s,FAILED
,,,,,,
Test Cases/PreferenceTestCase,Chrome 58.0.3029.110,,2017-06-22 21:04:09,2017-06-22 21:05:59,1m - 49.613s,FAILED
"Statement - info = [""url"":"""", ""username"":"""", ""password"":""""]",Chrome 58.0.3029.110,,2017-06-22 21:04:10,2017-06-22 21:04:10,0.002s,PASSED
"Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/FirstTestData"")",Chrome 58.0.3029.110,,2017-06-22 21:04:10,2017-06-22 21:04:11,1.102s,PASSED
"Statement - url = data.getValue(1, 1)",Chrome 58.0.3029.110,,2017-06-22 21:04:11,2017-06-22 21:04:11,0.033s,PASSED
"Statement - username = data.getValue(2, 1)",Chrome 58.0.3029.110,,2017-06-22 21:04:11,2017-06-22 21:04:11,0.001s,PASSED
"Statement - password = data.getValue(3, 1)",Chrome 58.0.3029.110,,2017-06-22 21:04:11,2017-06-22 21:04:11,0.001s,PASSED
Statement - url = url,Chrome 58.0.3029.110,,2017-06-22 21:04:11,2017-06-22 21:04:11,0.000s,PASSED
Statement - password = password,Chrome 58.0.3029.110,,2017-06-22 21:04:11,2017-06-22 21:04:11,0.001s,PASSED
Statement - username = username,Chrome 58.0.3029.110,,2017-06-22 21:04:11,2017-06-22 21:04:11,0.001s,PASSED
openBrowser,Chrome 58.0.3029.110,,2017-06-22 21:04:11,2017-06-22 21:04:51,39.912s,PASSED
setText,Chrome 58.0.3029.110,,2017-06-22 21:04:51,2017-06-22 21:04:51,0.516s,PASSED
setText,Chrome 58.0.3029.110,,2017-06-22 21:04:51,2017-06-22 21:04:51,0.236s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:04:51,2017-06-22 21:04:52,0.142s,PASSED
waitForElementVisible,Chrome 58.0.3029.110,,2017-06-22 21:04:52,2017-06-22 21:04:57,5.320s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:04:57,2017-06-22 21:04:57,0.131s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:04:57,2017-06-22 21:05:00,3.011s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:00,2017-06-22 21:05:00,0.126s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:00,2017-06-22 21:05:03,3.001s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:03,2017-06-22 21:05:04,0.618s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:04,2017-06-22 21:05:07,3.000s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:07,2017-06-22 21:05:07,0.167s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:07,2017-06-22 21:05:10,3.001s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:10,2017-06-22 21:05:10,0.230s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:10,2017-06-22 21:05:13,3.000s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:13,2017-06-22 21:05:13,0.121s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:13,2017-06-22 21:05:16,3.001s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:16,2017-06-22 21:05:17,0.357s,FAILED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:17,2017-06-22 21:05:20,3.000s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:20,2017-06-22 21:05:20,0.311s,FAILED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:20,2017-06-22 21:05:23,3.000s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:05:23,2017-06-22 21:05:55,31.891s,FAILED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:05:55,2017-06-22 21:05:58,3.000s,PASSED
closeBrowser,Chrome 58.0.3029.110,,2017-06-22 21:05:58,2017-06-22 21:05:59,0.823s,PASSED
