Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FirstTestSuite,IE 8.0,,2017-07-05 16:42:58,2017-07-05 16:43:19,21.203s,FAILED
,,,,,,
Test Cases/FirstSciptUsingTool,IE 8.0,,2017-07-05 16:42:58,2017-07-05 16:43:19,20.672s,FAILED
openBrowser,IE 8.0,,2017-07-05 16:42:59,2017-07-05 16:43:09,9.738s,PASSED
setText,IE 8.0,,2017-07-05 16:43:09,2017-07-05 16:43:09,0.099s,FAILED
setText,IE 8.0,,2017-07-05 16:43:09,2017-07-05 16:43:09,0.019s,FAILED
click,IE 8.0,,2017-07-05 16:43:09,2017-07-05 16:43:09,0.050s,FAILED
waitForElementVisible,IE 8.0,,2017-07-05 16:43:09,2017-07-05 16:43:09,0.032s,FAILED
Statement - println(greet),IE 8.0,,2017-07-05 16:43:09,2017-07-05 16:43:09,0.004s,PASSED
Statement - java.lang.Thread.sleep(3000),IE 8.0,,2017-07-05 16:43:09,2017-07-05 16:43:12,3.007s,PASSED
"Statement - varA = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FirstScriptUsingToolOr/Page_Health Home Dashboard (1)/right arrow), 5)",IE 8.0,Login Page,2017-07-05 16:43:12,2017-07-05 16:43:12,0.042s,FAILED
Statement - If (varA == true),IE 8.0,,2017-07-05 16:43:12,2017-07-05 16:43:12,0.000s,PASSED
Statement - Else,IE 8.0,,2017-07-05 16:43:12,2017-07-05 16:43:12,0.002s,PASSED
callTestCase,IE 8.0,,2017-07-05 16:43:12,2017-07-05 16:43:19,7.069s,FAILED
,,,,,,
Test Cases/patientPanelUserTagSearch,IE 8.0,,2017-07-05 16:43:19,2017-07-05 16:43:19,0.162s,ERROR
"Statement - info = [""url"":"""", ""username"":"""", ""password"":""""]",IE 8.0,,2017-07-05 16:43:19,2017-07-05 16:43:19,0.000s,PASSED
openBrowser,IE 8.0,,2017-07-05 16:43:19,2017-07-05 16:43:19,0.000s,PASSED
