Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FirstTestSuite,IE 8.0,,2017-06-22 21:11:00,2017-06-22 21:19:02,8m - 1.677s,ERROR
,,,,,,
Test Cases/FirstSciptUsingTool,IE 8.0,,2017-06-22 21:11:01,2017-06-22 21:11:01,0.515s,ERROR
Statement - evaluate(new java.io.File(FirstSciptUsingTool)),IE 8.0,,2017-06-22 21:11:01,2017-06-22 21:11:01,0.007s,PASSED
,,,,,,
Test Cases/patientPanelUserTagSearch,IE 8.0,,2017-06-22 21:11:01,2017-06-22 21:19:02,8m - 0.750s,FAILED
"Statement - info = [""url"":"""", ""username"":"""", ""password"":""""]",IE 8.0,,2017-06-22 21:11:01,2017-06-22 21:11:01,0.001s,PASSED
"Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/FirstTestData"")",IE 8.0,,2017-06-22 21:11:01,2017-06-22 21:11:03,1.695s,PASSED
"Statement - url = data.getValue(1, 1)",IE 8.0,,2017-06-22 21:11:03,2017-06-22 21:11:03,0.031s,PASSED
"Statement - username = data.getValue(2, 1)",IE 8.0,,2017-06-22 21:11:03,2017-06-22 21:11:03,0.002s,PASSED
"Statement - password = data.getValue(3, 1)",IE 8.0,,2017-06-22 21:11:03,2017-06-22 21:11:03,0.001s,PASSED
Statement - url = url,IE 8.0,,2017-06-22 21:11:03,2017-06-22 21:11:03,0.001s,PASSED
Statement - password = password,IE 8.0,,2017-06-22 21:11:03,2017-06-22 21:11:03,0.001s,PASSED
Statement - username = username,IE 8.0,,2017-06-22 21:11:03,2017-06-22 21:11:03,0.002s,PASSED
openBrowser,IE 8.0,,2017-06-22 21:11:03,2017-06-22 21:11:10,7.286s,FAILED
setText,IE 8.0,,2017-06-22 21:11:10,2017-06-22 21:11:58,48.062s,FAILED
setText,IE 8.0,,2017-06-22 21:11:58,2017-06-22 21:12:47,48.892s,FAILED
click,IE 8.0,,2017-06-22 21:12:47,2017-06-22 21:13:36,49.123s,FAILED
waitForElementVisible,IE 8.0,,2017-06-22 21:13:36,2017-06-22 21:13:53,16.347s,PASSED
click,IE 8.0,,2017-06-22 21:13:53,2017-06-22 21:14:42,49.165s,FAILED
Statement - java.lang.Thread.sleep(3000),IE 8.0,,2017-06-22 21:14:42,2017-06-22 21:14:45,3.005s,PASSED
click,IE 8.0,,2017-06-22 21:14:45,2017-06-22 21:15:34,48.947s,FAILED
Statement - java.lang.Thread.sleep(3000),IE 8.0,,2017-06-22 21:15:34,2017-06-22 21:15:37,3.001s,PASSED
click,IE 8.0,,2017-06-22 21:15:37,2017-06-22 21:16:26,49.072s,FAILED
Statement - java.lang.Thread.sleep(3000),IE 8.0,,2017-06-22 21:16:26,2017-06-22 21:16:29,3.000s,PASSED
click,IE 8.0,,2017-06-22 21:16:29,2017-06-22 21:17:18,48.860s,FAILED
Statement - java.lang.Thread.sleep(3000),IE 8.0,,2017-06-22 21:17:18,2017-06-22 21:17:21,3.000s,PASSED
click,IE 8.0,,2017-06-22 21:17:21,2017-06-22 21:18:10,48.925s,FAILED
Statement - java.lang.Thread.sleep(3000),IE 8.0,,2017-06-22 21:18:10,2017-06-22 21:18:13,3.000s,PASSED
Statement - ele = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/FirstScriptUsingToolOr/Page_Health Home Dashboard (1)/patient panel/patientpanelMaText)),IE 8.0,,2017-06-22 21:18:13,2017-06-22 21:19:02,49.141s,FAILED
"Statement - If (ele.equalsIgnoreCase(""AA""))",IE 8.0,,2017-06-22 21:19:02,2017-06-22 21:19:02,0.007s,PASSED
